#OTU ID	Blank2	Blank3	NTC1	NTC2	R1	R10	R11	R12	R13	R14	R15	R16	R2	R3	R4	R5	R6	R7	R8	R9	taxonomy
22e542d3b67815519535be9d7e398e8a	0	0	0	0	0	0	0	0	30	0	0	0	0	10	10	0	0	0	0	0	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__Treponema_D bryantii_A
0c3d2038714f019f70fdc3b6f4b40419	0	0	0	0	0	0	0	0	21	0	0	18	0	0	0	0	0	11	0	0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas
c7ad813ef2b8f3d261545743f57e08d3	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	4	26	8	0	0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__Ruminococcus sp900315755
80a29a831fd75d033923d13871b8e342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	20	12	11	0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger variabilis_B
fcc844109923ade9289aeb0a61bd428d	3	0	0	0	0	0	0	0	22	0	0	6	2	8	8	0	0	0	0	0	d__Bacteria
5a80af5cd39b66f6b4d803fd2fc2aa74	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__RUG740
a61a874859ee5a4cba2b159dcbb48306	0	0	0	0	32	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__CAG-382;g__SFLA01;s__SFLA01 sp004553575
a44f1f2b81d1beeb0c0d437e38c21751	0	0	0	0	32	10	0	0	0	0	0	0	0	0	0	0	0	0	0	7	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Hornefia
dd1a2b4b926ce07c31d1ac3dc4507db0	0	0	0	0	19	13	0	0	0	17	0	0	0	0	0	0	0	0	0	0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella
b1bc344d51ba0fa333463ed9650e2932	0	0	0	0	13	9	0	7	0	20	0	0	0	0	0	0	0	0	0	0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp016286145
